,masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,ASCI.hybrid,PyrethroidSum,huc,smcshed,smc_lu,latitude,longitude,probabilistic
5316,SMC01982,SMC01982_2013,NA,NA,0.43073502,NA,NA,405,San Gabriel,Urban,33.91694,-118.03836,TRUE
5317,SMC01987,SMC01987_2012,NA,NA,0.66640424,0.48410478,NA,901,San Juan,Urban,33.59028,-117.71185,TRUE
5318,SMC01990,SMC01990_2009,NA,NA,0.61661595,0.75214814,NA,907,Mission Bay and San Diego River,Urban,32.79653,-117.11327,TRUE
5319,SMC01990,SMC01990_2014,NA,NA,0.66341859,0.82721564,NA,907,Mission Bay and San Diego River,Urban,32.79653,-117.11327,TRUE
5320,SMC02006,SMC02006_2009,NA,NA,0.44899344,0.95732579,NA,907,Mission Bay and San Diego River,Urban,32.83083,-116.98486,TRUE
5321,SMC02028,SMC02028_2012,NA,NA,0.66822034,0.50511338,NA,412,Los Angeles,Urban,34.12868,-118.16553,TRUE
5322,SMC02075,SMC02075_2012,NA,NA,0.84737441,0.89317064,NA,403,Santa Clara,Open,34.6719,-119.03758,TRUE
5323,SMC02088,SMC02088_2011,NA,NA,0.80987292,0.89787412,NA,412,Los Angeles,Open,34.30226,-118.25959,TRUE
5324,SMC02088,SMC02088_2018,NA,NA,0.9364029,NA,NA,412,Los Angeles,Open,34.30226,-118.25959,TRUE
5325,SMC02092,SMC02092_2011,NA,NA,0.84056756,0.71598152,NA,412,Los Angeles,Open,34.27948,-118.20684,TRUE
5326,SMC02092,SMC02092_2018,NA,NA,1.01608787,NA,NA,412,Los Angeles,Open,34.27948,-118.20684,TRUE
5327,SMC02127,SMC02127_2009,NA,NA,0.83312024,0.61742156,NA,402,Ventura,Agricultural,34.42318,-119.26474,TRUE
5328,SMC02127,SMC02127_2014,NA,NA,0.80726106,0.43490746,NA,402,Ventura,Agricultural,34.42318,-119.26474,TRUE
5329,SMC02152,SMC02152_2010,NA,NA,0.58405462,NA,NA,404,Santa Monica Bay,Open,34.09801,-118.7217,TRUE
5330,SMC02174,SMC02174_2013,NA,NA,0.35515309,NA,NA,405,San Gabriel,SMC_out,34.00511,-117.96922,TRUE
5331,SMC02206,SMC02206_2011,NA,NA,0.51139814,0.86669787,0.009,801,Lower Santa Ana,Urban,33.87098,-117.85002,TRUE
5332,SMC02208,SMC02208_2013,NA,NA,0.60903167,0.58088611,NA,405,San Gabriel,SMC_out,34.12835,-117.77484,TRUE
5333,SMC02228,SMC02228_2009,NA,NA,0.67868323,0.33720588,NA,412,Los Angeles,Urban,34.06933,-118.22427,TRUE
5334,SMC02232,SMC02232_2013,NA,NA,0.24594516,0.6692488,NA,412,Los Angeles,Urban,34.23241,-118.5524,TRUE
5335,SMC02270,SMC02270_2010,NA,NA,0.63514306,0.51570471,NA,801,Lower Santa Ana,Urban,33.79573,-117.77241,TRUE
5336,SMC02284,SMC02284_2013,NA,NA,0.4184921,NA,NA,405,San Gabriel,Urban,34.06542,-117.94939,TRUE
5337,SMC02302,SMC02302_2013,NA,NA,0.19572719,0.87212628,NA,845,San Gabriel,Urban,33.8153,-118.04128,TRUE
5338,SMC02366,SMC02366_2014,NA,NA,0.34755566,0.83096011,NA,405,San Gabriel,SMC_out,33.84684,-118.14043,TRUE
5339,SMC02417,SMC02417_2011,NA,NA,0.57674575,0.86905241,NA,904,Central San Diego,Urban,33.13385,-117.06236,TRUE
5340,SMC02436,SMC02436_2009,NA,NA,0.60999244,0.6223892,NA,408,Calleguas,Agricultural,34.26279,-118.97199,TRUE
5341,SMC02452,SMC02452_2011,NA,NA,0.65952328,0.79578219,NA,408,Calleguas,Urban,34.2733,-118.89985,TRUE
5342,SMC02457,SMC02457_2010,NA,NA,0.59750505,0.55067558,NA,903,Northern San Diego,Agricultural,33.25578,-117.25006,TRUE
5343,SMC02484,SMC02484_2013,NA,NA,0.52433536,0.91004341,NA,412,Los Angeles,SMC_out,34.1451,-118.36764,TRUE
